馬名,系統,category,距離,成長,ダート,体質,気性,実績,底力,安定,非凡,天性,父,父父,父父父,父父父父,父父母父,父母父,父母父父,父母母父,母父,母父父,母父父父,母父母父,母母父,母母父父,母母母父,pa:父,pa:父父,pa:父父父,pa:父父父父,pa:父父母父,pa:父母父,pa:父母父父,pa:父母母父,pa:母父,pa:母父父,pa:母父父父,pa:母父母父,pa:母母父,pa:母母父父,pa:母母母父,chi:父,chi:父父,chi:父父父,chi:父父父父,chi:父父母父,chi:父母父,chi:父母父父,chi:父母母父,chi:母父,chi:母父父,chi:母父父父,chi:母父母父,chi:母母父,chi:母母父父,chi:母母母父
ネアルコ-燕闘-,ネアルコ系,12,1000m〜3000m,普通,◎,A,A,A,A,A,Arcobaleno,,Pharos,Phalaris,Polymelus,Cyllene,Sainfoin,Chaucer,St.Simon,Love Wisely,Havresac,Rabelais,St.Simon,Ajax,Spearmint,Carbine,The Sailor Prince,Phalaris,Phalaris,Eclipse,Eclipse,Eclipse,St.Simon,St.Simon,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Eclipse,Eclipse,Eclipse,ファロス系,ファラリス系,エクリプス系,エクリプス系,エクリプス系,セントサイモン系,セントサイモン系,エクリプス系,セントサイモン系,セントサイモン系,セントサイモン系,エクリプス系,エクリプス系,エクリプス系,エクリプス系
ネアルコ-覇煌-,ネアルコ系,11,1000m〜3000m,普通,◎,A,A,A,A,A,Mago,,Pharos,Phalaris,Polymelus,Cyllene,Sainfoin,Chaucer,St.Simon,Love Wisely,Havresac,Rabelais,St.Simon,Ajax,Spearmint,Carbine,The Sailor Prince,Phalaris,Phalaris,Eclipse,Eclipse,Eclipse,St.Simon,St.Simon,Eclipse,St.Simon,St.Simon,St.Simon,Eclipse,Eclipse,Eclipse,Eclipse,ファロス系,ファラリス系,エクリプス系,エクリプス系,エクリプス系,セントサイモン系,セントサイモン系,エクリプス系,セントサイモン系,セントサイモン系,セントサイモン系,エクリプス系,エクリプス系,エクリプス系,エクリプス系
ネイエフ-燕闘-,レイズアネイティヴ系,12,1200m〜3000m,普通,△,A,A,A,B,A,Storm,,ガルチ,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,ナシュア,Rambunctious,Rasper,Seven Corners,バスティノ,バステッド,クレペロ,Doutelle,Queen's Hussar,March Past,Borealis,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Hampton,Hampton,Teddy,Swynford,Swynford,Swynford,St.Simon,Fairway,Fairway,Teddy,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ナスルーラ系,オーエンテューダー系,オーエンテューダー系,テディ系,ブレニム系,ブレニム系,ブレニム系,プリンスローズ系,フェアトライアル系,フェアトライアル系,テディ系
ネイエフ-覇走-,レイズアネイティヴ系,11,1200m〜3000m,普通,△,A,A,A,B,A,Pegasus,,ガルチ,ミスタープロスペクター,Raise a Native,ネイティヴダンサー,ナシュア,Rambunctious,Rasper,Seven Corners,バスティノ,バステッド,クレペロ,Doutelle,Queen's Hussar,March Past,Borealis,Native Dancer,Native Dancer,Native Dancer,Native Dancer,Nasrullah,Hampton,Hampton,Teddy,Swynford,Swynford,Swynford,St.Simon,Fairway,Fairway,Teddy,レイズアネイティヴ系,レイズアネイティヴ系,レイズアネイティヴ系,ネイティヴダンサー系,ナスルーラ系,オーエンテューダー系,オーエンテューダー系,テディ系,ブレニム系,ブレニム系,ブレニム系,プリンスローズ系,フェアトライアル系,フェアトライアル系,テディ系
ネイティヴダンサー-極走-,ネイティヴダンサー系,11,1000m〜2400m,普通,◎,B,B,A,A,A,,,Polynesian,Unbreakable,Sickle,Phalaris,Prince Palatine,Polymelian,Polymelus,Pompey,Discovery,Display,Fair Play,Light Brigade,John P. Grier,Whisk Broom,Sweep,Phalaris,Phalaris,Phalaris,Phalaris,St.Simon,Eclipse,Eclipse,Eclipse,Matchem,Matchem,Matchem,Eclipse,Eclipse,Eclipse,Eclipse,ファラリス系,ファラリス系,ファラリス系,ファラリス系,セントサイモン系,エクリプス系,エクリプス系,エクリプス系,マッチェム系,マッチェム系,マッチェム系,エクリプス系,エクリプス系,エクリプス系,エクリプス系
ネイティヴダンサー-獅闘-,ネイティヴダンサー系,12,1000m〜2400m,普通,◎,B,B,A,A,A,GrayGhost,,Polynesian,Unbreakable,Sickle,Phalaris,Prince Palatine,Polymelian,Polymelus,Pompey,Discovery,Display,Fair Play,Light Brigade,John P. Grier,Whisk Broom,Sweep,Phalaris,Phalaris,Phalaris,Phalaris,St.Simon,Eclipse,Eclipse,Eclipse,Matchem,Matchem,Matchem,Eclipse,Eclipse,Eclipse,Eclipse,ファラリス系,ファラリス系,ファラリス系,ファラリス系,セントサイモン系,エクリプス系,エクリプス系,エクリプス系,マッチェム系,マッチェム系,マッチェム系,エクリプス系,エクリプス系,エクリプス系,エクリプス系
ネイティヴダンサー-覇煌-,ネイティヴダンサー系,11,1000m〜2400m,普通,◎,B,B,A,A,A,Neo Ghost,,Polynesian,Unbreakable,Sickle,Phalaris,Prince Palatine,Polymelian,Polymelus,Pompey,Discovery,Display,Fair Play,Light Brigade,John P. Grier,Whisk Broom,Sweep,Phalaris,Phalaris,Phalaris,Phalaris,St.Simon,Eclipse,Eclipse,Eclipse,Matchem,Matchem,Matchem,Eclipse,Eclipse,Eclipse,Eclipse,ファラリス系,ファラリス系,ファラリス系,ファラリス系,セントサイモン系,エクリプス系,エクリプス系,エクリプス系,マッチェム系,マッチェム系,マッチェム系,エクリプス系,エクリプス系,エクリプス系,エクリプス系
ネオユニヴァース-天煌-,ヘイルトゥリーズン系,12,1600m〜3600m,普通,◎,B,B,A,A,A,宇宙速度,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,Kris,シャーペンアップ,エタン,リライアンス,Shantung,Sicambre,Pall Mall,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Native Dancer,Native Dancer,Native Dancer,Teddy,St.Simon,St.Simon,Fairway,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,エタン系,エタン系,エタン系,テディ系,プリンスビオ系,プリンスビオ系,フェアトライアル系
ネオユニヴァース-覇煌-,ヘイルトゥリーズン系,7,1600m〜3600m,普通,◎,B,B,A,A,A,大千世界,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,Kris,シャーペンアップ,エタン,リライアンス,Shantung,Sicambre,Pall Mall,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Native Dancer,Native Dancer,Native Dancer,Teddy,St.Simon,St.Simon,Fairway,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,エタン系,エタン系,エタン系,テディ系,プリンスビオ系,プリンスビオ系,フェアトライアル系
ネオユニヴァース2003,ヘイルトゥリーズン系,7,1600m〜3600m,普通,◎,B,B,A,A,A,新生世界,,サンデーサイレンス,ヘイロー,ヘイルトゥリーズン,Turn-to,Cosmic Bomb,アンダースタンディング,Promised Land,Montparnasse,Kris,シャーペンアップ,エタン,リライアンス,Shantung,Sicambre,Pall Mall,Royal Charger,Royal Charger,Royal Charger,Royal Charger,Phalaris,Teddy,Teddy,Hampton,Native Dancer,Native Dancer,Native Dancer,Teddy,St.Simon,St.Simon,Fairway,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ロイヤルチャージャー系,ファラリス系,テディ系,テディ系,ハイペリオン系,エタン系,エタン系,エタン系,テディ系,プリンスビオ系,プリンスビオ系,フェアトライアル系
ネッケツキョウシ-闘覇-,ダンテ系,collabo_1059_04,1200m〜2000m,普通,△,A,B,A,A,B,大声疾呼,,デリングドゥ,Darius,ダンテ,ネアルコ,Dastur,Abernant,Owen Tudor,Chanteur,Ribot,Tenerani,Bellini,El Greco,Bull Lea,Bull Dog,Blue Larkspur,Phalaris,Phalaris,Phalaris,Phalaris,Hampton,Hampton,Hampton,Eclipse,St.Simon,St.Simon,St.Simon,Phalaris,Teddy,Teddy,Himyar,ダンテ系,ダンテ系,ダンテ系,ネアルコ系,ハンプトン系,オーエンテューダー系,オーエンテューダー系,エクリプス系,リボー系,セントサイモン系,セントサイモン系,ファロス系,テディ系,テディ系,ヒムヤー系
ネヴァーセイダイ-瓏闘-,ネヴァーセイダイ系,12,1200m〜2900m,普通,〇,A,C,A,A,B,Fortitude,,ナスルーラ,ネアルコ,Pharos,Phalaris,Havresac,Blenheim,Blandford,The Tetrarch,War Admiral,Man o'War,Fair Play,Sweep,Vatout,Prince Chimay,Sir Gallahad,Nasrullah,Phalaris,Phalaris,Phalaris,St.Simon,Swynford,Swynford,Herod,Matchem,Matchem,Matchem,Eclipse,St.Simon,St.Simon,Teddy,ナスルーラ系,ネアルコ系,ファロス系,ファラリス系,セントサイモン系,ブレニム系,ブランドフォード系,ヘロド系,マンノウォー系,マンノウォー系,マッチェム系,エクリプス系,セントサイモン系,セントサイモン系,テディ系
ネヴァービート-燕禊-,ネヴァーセイダイ系,12,1200m〜3200m,普通,〇,A,A,A,B,B,磨穿絶影,,ネヴァーセイダイ,ナスルーラ,ネアルコ,Pharos,Blenheim,War Admiral,Man o'War,Vatout,Big Game,Bahram,Blandford,Tetratema,ネアルコ,Pharos,Windsor Lad,Nasrullah,Nasrullah,Phalaris,Phalaris,Swynford,Matchem,Matchem,St.Simon,Swynford,Swynford,Swynford,Herod,Phalaris,Phalaris,Swynford,ネヴァーセイダイ系,ナスルーラ系,ネアルコ系,ファロス系,ブレニム系,マンノウォー系,マンノウォー系,セントサイモン系,ブランドフォード系,ブランドフォード系,ブランドフォード系,ヘロド系,ネアルコ系,ファロス系,ブランドフォード系
ネヴァービート-覇煌-,ネヴァーセイダイ系,11,1200m〜3200m,普通,〇,A,A,A,B,B,蛍雪之功,,ネヴァーセイダイ,ナスルーラ,ネアルコ,Pharos,Blenheim,War Admiral,Man o'War,Vatout,Big Game,Bahram,Blandford,Tetratema,ネアルコ,Pharos,Windsor Lad,Nasrullah,Nasrullah,Phalaris,Phalaris,Swynford,Matchem,Matchem,St.Simon,Swynford,Swynford,Swynford,Herod,Phalaris,Phalaris,Swynford,ネヴァーセイダイ系,ナスルーラ系,ネアルコ系,ファロス系,ブレニム系,マンノウォー系,マンノウォー系,セントサイモン系,ブランドフォード系,ブランドフォード系,ブランドフォード系,ヘロド系,ネアルコ系,ファロス系,ブランドフォード系
ネヴァービート1970,ネヴァーセイダイ系,11,1200m〜3200m,普通,〇,A,A,A,B,B,磨穿鐵脚,,ネヴァーセイダイ,ナスルーラ,ネアルコ,Pharos,Blenheim,War Admiral,Man o'War,Vatout,Big Game,Bahram,Blandford,Tetratema,ネアルコ,Pharos,Windsor Lad,Nasrullah,Nasrullah,Phalaris,Phalaris,Swynford,Matchem,Matchem,St.Simon,Swynford,Swynford,Swynford,Herod,Phalaris,Phalaris,Swynford,ネヴァーセイダイ系,ナスルーラ系,ネアルコ系,ファロス系,ブレニム系,マンノウォー系,マンノウォー系,セントサイモン系,ブランドフォード系,ブランドフォード系,ブランドフォード系,ヘロド系,ネアルコ系,ファロス系,ブランドフォード系
ネヴァーベンド-瞬走-,ネヴァーベンド系,11,1200m〜2400m,早熟,◎,A,B,A,A,B,Never Ending,,ナスルーラ,ネアルコ,Pharos,Phalaris,Havresac,Blenheim,Blandford,The Tetrarch,Djeddah,Djebel,Tourbillon,Asterus,Bimelech,Black Toney,Blue Larkspur,Nasrullah,Phalaris,Phalaris,Phalaris,St.Simon,Swynford,Swynford,Herod,Herod,Herod,Herod,Teddy,Himyar,Himyar,Himyar,ナスルーラ系,ネアルコ系,ファロス系,ファラリス系,セントサイモン系,ブレニム系,ブランドフォード系,ヘロド系,トウルビヨン系,トウルビヨン系,トウルビヨン系,テディ系,ヒムヤー系,ヒムヤー系,ヒムヤー系
ノウンファクト-瞬発-,インテント系,5,1000m〜3200m,普通,◎,B,A,A,A,B,,,インリアリティ,Intentionally,Intent,War Relic,Discovery,Rough'n Tumble,Free for All,War Relic,ティムタム,Tom Fool,Menow,Bull Lea,テューダーミンストレル,Owen Tudor,Tehran,Matchem,Matchem,Matchem,Matchem,Matchem,Himyar,Himyar,Matchem,Tom Fool,Tom Fool,Phalaris,Teddy,Hampton,Hampton,St.Simon,インテント系,インテント系,インテント系,マンノウォー系,マッチェム系,ヒムヤー系,ヒムヤー系,マンノウォー系,トムフール系,トムフール系,ファラリス系,テディ系,オーエンテューダー系,オーエンテューダー系,ボワルセル系
ノウンファクト-縮地-,インテント系,7,1000m〜3200m,普通,◎,B,A,A,A,B,,,インリアリティ,Intentionally,Intent,War Relic,Discovery,Rough'n Tumble,Free for All,War Relic,ティムタム,Tom Fool,Menow,Bull Lea,テューダーミンストレル,Owen Tudor,Tehran,Matchem,Matchem,Matchem,Matchem,Matchem,Himyar,Himyar,Matchem,Tom Fool,Tom Fool,Phalaris,Teddy,Hampton,Hampton,St.Simon,インテント系,インテント系,インテント系,マンノウォー系,マッチェム系,ヒムヤー系,ヒムヤー系,マンノウォー系,トムフール系,トムフール系,ファラリス系,テディ系,オーエンテューダー系,オーエンテューダー系,ボワルセル系
ノウンファクト1980,インテント系,5,1000m〜3200m,普通,◎,B,A,A,A,B,Lucifer,,インリアリティ,Intentionally,Intent,War Relic,Discovery,Rough'n Tumble,Free for All,War Relic,ティムタム,Tom Fool,Menow,Bull Lea,テューダーミンストレル,Owen Tudor,Tehran,Matchem,Matchem,Matchem,Matchem,Matchem,Himyar,Himyar,Matchem,Tom Fool,Tom Fool,Phalaris,Teddy,Hampton,Hampton,St.Simon,インテント系,インテント系,インテント系,マンノウォー系,マッチェム系,ヒムヤー系,ヒムヤー系,マンノウォー系,トムフール系,トムフール系,ファラリス系,テディ系,オーエンテューダー系,オーエンテューダー系,ボワルセル系
ノットアシングルダウト,ノーザンダンサー系,7,1000m〜1600m,普通,△,C,B,A,B,B,,,リダウツチョイス,デインヒル,ダンチヒ,ノーザンダンサー,ヒズマジェスティ,canny lad,bletchingly,ニジンスキー,Rorys Jester,Crown Jester,Baguette,Roan Rocket,grand chaudiere,ノーザンダンサー,Misty Day,Nearctic,Nearctic,Nearctic,Nearctic,St.Simon,Hampton,Hampton,Nearctic,Nasrullah,Nasrullah,Nasrullah,Matchem,Nearctic,Nearctic,Nasrullah,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,リボー系,ハイペリオン系,ハイペリオン系,ノーザンダンサー系,ナスルーラ系,ナスルーラ系,ナスルーラ系,レリック系,ノーザンダンサー系,ノーザンダンサー系,ナスルーラ系
ノットアシングルダウト-瞬発-,ノーザンダンサー系,5,1000m〜2000m,普通,△,C,B,A,A,B,,,リダウツチョイス,デインヒル,ダンチヒ,ノーザンダンサー,ヒズマジェスティ,canny lad,bletchingly,ニジンスキー,Rorys Jester,Crown Jester,Baguette,Roan Rocket,grand chaudiere,ノーザンダンサー,Misty Day,Nearctic,Nearctic,Nearctic,Nearctic,St.Simon,Hampton,Hampton,Nearctic,Nasrullah,Nasrullah,Nasrullah,Matchem,Nearctic,Nearctic,Nasrullah,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,リボー系,ハイペリオン系,ハイペリオン系,ノーザンダンサー系,ナスルーラ系,ナスルーラ系,ナスルーラ系,レリック系,ノーザンダンサー系,ノーザンダンサー系,ナスルーラ系
ノヴェリスト-覇走-,ブランドフォード系,5,2000m〜2400m,普通,〇,B,A,A,A,A,,,モンズーン,Konigsstuhl,Dschingis Khan,Tamerlane,Tiepoletto,Surumu,Literat,Authi,Lagunas,イルドブルボン,ニジンスキー,Literat,Night Shift,ノーザンダンサー,Nebos,Swynford,Swynford,Swynford,Swynford,Herod,Hampton,Hampton,Hampton,Nearctic,Nearctic,Nearctic,Hampton,Nearctic,Nearctic,Nasrullah,ブランドフォード系,ブランドフォード系,ブランドフォード系,ブランドフォード系,トウルビヨン系,ハンプトン系,ハンプトン系,オリオール系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ハンプトン系,ノーザンダンサー系,ノーザンダンサー系,フォルティノ系
ノヴェリスト2013,ブランドフォード系,7,2000m〜2400m,普通,〇,B,A,A,A,A,浪漫,,モンズーン,Konigsstuhl,Dschingis Khan,Tamerlane,Tiepoletto,Surumu,Literat,Authi,Lagunas,イルドブルボン,ニジンスキー,Literat,Night Shift,ノーザンダンサー,Nebos,Swynford,Swynford,Swynford,Swynford,Herod,Hampton,Hampton,Hampton,Nearctic,Nearctic,Nearctic,Hampton,Nearctic,Nearctic,Nasrullah,ブランドフォード系,ブランドフォード系,ブランドフォード系,ブランドフォード系,トウルビヨン系,ハンプトン系,ハンプトン系,オリオール系,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ハンプトン系,ノーザンダンサー系,ノーザンダンサー系,フォルティノ系
ノーアテンション,ノーザンダンサー系,5,1800m〜3200m,晩成,〇,B,B,A,A,C,,,グリーンダンサー,ニジンスキー,ノーザンダンサー,ニアークティック,ブルページ,ヴァルドロワール,Vieux Manoir,Spy Song,Sovereign Path,Grey Sovereign,ナスルーラ,Bobsleigh,Orsini,Ticino,Arjaman,Nearctic,Nearctic,Nearctic,Nearctic,Teddy,Swynford,Swynford,Himyar,Nasrullah,Nasrullah,Nasrullah,Hampton,Eclipse,Eclipse,Hampton,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,ブラントーム系,ブラントーム系,ヒムヤー系,ソヴリンパス系,グレイソヴリン系,ナスルーラ系,ハンプトン系,エクリプス系,エクリプス系,ハンプトン系
ノーアテンション-強靱-,ノーザンダンサー系,5,1800m〜3200m,晩成,〇,B,B,A,A,C,,,グリーンダンサー,ニジンスキー,ノーザンダンサー,ニアークティック,ブルページ,ヴァルドロワール,Vieux Manoir,Spy Song,Sovereign Path,Grey Sovereign,ナスルーラ,Bobsleigh,Orsini,Ticino,Arjaman,Nearctic,Nearctic,Nearctic,Nearctic,Teddy,Swynford,Swynford,Himyar,Nasrullah,Nasrullah,Nasrullah,Hampton,Eclipse,Eclipse,Hampton,ノーザンダンサー系,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,テディ系,ブラントーム系,ブラントーム系,ヒムヤー系,ソヴリンパス系,グレイソヴリン系,ナスルーラ系,ハンプトン系,エクリプス系,エクリプス系,ハンプトン系
ノーザンダンサー-闘神-,ノーザンダンサー系,12,1000m〜3200m,普通,◎,B,B,A,A,A,Best World,,ニアークティック,ネアルコ,Pharos,Phalaris,Havresac,ハイペリオン,Gainsborough,Abbots Trace,ネイティヴダンサー,Polynesian,Unbreakable,Discovery,マームード,Blenheim,Peace Chance,Nearctic,Phalaris,Phalaris,Phalaris,St.Simon,Hampton,Hampton,Eclipse,Native Dancer,Phalaris,Phalaris,Matchem,Swynford,Swynford,Matchem,ニアークティック系,ネアルコ系,ファロス系,ファラリス系,セントサイモン系,ハイペリオン系,ハンプトン系,エクリプス系,ネイティヴダンサー系,ファラリス系,ファラリス系,マッチェム系,ブレニム系,ブレニム系,マッチェム系
ノーザンテースト-極走-,ノーザンダンサー系,11,1600m〜3200m,普通,〇,B,A,A,A,A,神風天籟,,ノーザンダンサー,ニアークティック,ネアルコ,Pharos,ハイペリオン,ネイティヴダンサー,Polynesian,マームード,Victoria Park,Chop Chop,Flares,Windfields,ハイペリオン,Gainsborough,Abbots Trace,Nearctic,Nearctic,Phalaris,Phalaris,Hampton,Native Dancer,Phalaris,Swynford,Teddy,Teddy,Teddy,Matchem,Hampton,Hampton,Eclipse,ノーザンダンサー系,ニアークティック系,ネアルコ系,ファロス系,ハイペリオン系,ネイティヴダンサー系,ファラリス系,ブレニム系,テディ系,テディ系,テディ系,マッチェム系,ハイペリオン系,ハンプトン系,エクリプス系
ノーザンテースト-煉禊-,ノーザンダンサー系,12,1600m〜3200m,普通,〇,B,A,A,A,A,神風鳳翔,,ノーザンダンサー,ニアークティック,ネアルコ,Pharos,ハイペリオン,ネイティヴダンサー,Polynesian,マームード,Victoria Park,Chop Chop,Flares,Windfields,ハイペリオン,Gainsborough,Abbots Trace,Nearctic,Nearctic,Phalaris,Phalaris,Hampton,Native Dancer,Phalaris,Swynford,Teddy,Teddy,Teddy,Matchem,Hampton,Hampton,Eclipse,ノーザンダンサー系,ニアークティック系,ネアルコ系,ファロス系,ハイペリオン系,ネイティヴダンサー系,ファラリス系,ブレニム系,テディ系,テディ系,テディ系,マッチェム系,ハイペリオン系,ハンプトン系,エクリプス系
ノーザンテースト-瓏闘-,ノーザンダンサー系,12,1600m〜3200m,普通,〇,B,A,A,A,A,神風蒼穹,,ノーザンダンサー,ニアークティック,ネアルコ,Pharos,ハイペリオン,ネイティヴダンサー,Polynesian,マームード,Victoria Park,Chop Chop,Flares,Windfields,ハイペリオン,Gainsborough,Abbots Trace,Nearctic,Nearctic,Phalaris,Phalaris,Hampton,Native Dancer,Phalaris,Swynford,Teddy,Teddy,Teddy,Matchem,Hampton,Hampton,Eclipse,ノーザンダンサー系,ニアークティック系,ネアルコ系,ファロス系,ハイペリオン系,ネイティヴダンサー系,ファラリス系,ブレニム系,テディ系,テディ系,テディ系,マッチェム系,ハイペリオン系,ハンプトン系,エクリプス系
ノーザンテースト-神速-,ノーザンダンサー系,12,1600m〜3200m,普通,〇,B,A,A,A,A,神風跳舞,,ノーザンダンサー,ニアークティック,ネアルコ,Pharos,ハイペリオン,ネイティヴダンサー,Polynesian,マームード,Victoria Park,Chop Chop,Flares,Windfields,ハイペリオン,Gainsborough,Abbots Trace,Nearctic,Nearctic,Phalaris,Phalaris,Hampton,Native Dancer,Phalaris,Swynford,Teddy,Teddy,Teddy,Matchem,Hampton,Hampton,Eclipse,ノーザンダンサー系,ニアークティック系,ネアルコ系,ファロス系,ハイペリオン系,ネイティヴダンサー系,ファラリス系,ブレニム系,テディ系,テディ系,テディ系,マッチェム系,ハイペリオン系,ハンプトン系,エクリプス系
ノーザンテースト-閃禊-,ノーザンダンサー系,12,1600m〜3200m,普通,〇,B,A,A,A,A,神風招雷,,ノーザンダンサー,ニアークティック,ネアルコ,Pharos,ハイペリオン,ネイティヴダンサー,Polynesian,マームード,Victoria Park,Chop Chop,Flares,Windfields,ハイペリオン,Gainsborough,Abbots Trace,Nearctic,Nearctic,Phalaris,Phalaris,Hampton,Native Dancer,Phalaris,Swynford,Teddy,Teddy,Teddy,Matchem,Hampton,Hampton,Eclipse,ノーザンダンサー系,ニアークティック系,ネアルコ系,ファロス系,ハイペリオン系,ネイティヴダンサー系,ファラリス系,ブレニム系,テディ系,テディ系,テディ系,マッチェム系,ハイペリオン系,ハンプトン系,エクリプス系
ノーザンテースト1974,ノーザンダンサー系,7,1600m〜3200m,普通,〇,B,A,A,A,A,万劫末代,,ノーザンダンサー,ニアークティック,ネアルコ,Pharos,ハイペリオン,ネイティヴダンサー,Polynesian,マームード,Victoria Park,Chop Chop,Flares,Windfields,ハイペリオン,Gainsborough,Abbots Trace,Nearctic,Nearctic,Phalaris,Phalaris,Hampton,Native Dancer,Phalaris,Swynford,Teddy,Teddy,Teddy,Matchem,Hampton,Hampton,Eclipse,ノーザンダンサー系,ニアークティック系,ネアルコ系,ファロス系,ハイペリオン系,ネイティヴダンサー系,ファラリス系,ブレニム系,テディ系,テディ系,テディ系,マッチェム系,ハイペリオン系,ハンプトン系,エクリプス系
ノーザンテースト1982,ノーザンダンサー系,7,1600m〜3200m,普通,〇,B,A,A,A,A,自由闊達,,ノーザンダンサー,ニアークティック,ネアルコ,Pharos,ハイペリオン,ネイティヴダンサー,Polynesian,マームード,Victoria Park,Chop Chop,Flares,Windfields,ハイペリオン,Gainsborough,Abbots Trace,Nearctic,Nearctic,Phalaris,Phalaris,Hampton,Native Dancer,Phalaris,Swynford,Teddy,Teddy,Teddy,Matchem,Hampton,Hampton,Eclipse,ノーザンダンサー系,ニアークティック系,ネアルコ系,ファロス系,ハイペリオン系,ネイティヴダンサー系,ファラリス系,ブレニム系,テディ系,テディ系,テディ系,マッチェム系,ハイペリオン系,ハンプトン系,エクリプス系
ハイエストオナー-闘覇-,ゼダーン系,11,1200m〜3100m,普通,△,A,B,A,A,B,Elysian,,ケンマール,カラムーン,ゼダーン,Grey Sovereign,Prince Bio,マイリージャン,My Babu,Nearula,リヴァーマン,ネヴァーベンド,ナスルーラ,Prince John,サーゲイロード,Turn-to,ナスルーラ,Nasrullah,Nasrullah,Nasrullah,Nasrullah,St.Simon,Herod,Herod,Nasrullah,Nasrullah,Nasrullah,Nasrullah,St.Simon,Royal Charger,Royal Charger,Nasrullah,ゼダーン系,ゼダーン系,ゼダーン系,グレイソヴリン系,プリンスビオ系,マイバブー系,マイバブー系,ナスルーラ系,ネヴァーベンド系,ネヴァーベンド系,ナスルーラ系,プリンスキロ系,サーゲイロード系,ロイヤルチャージャー系,ナスルーラ系
ハイシャパラル,ノーザンダンサー系,5,1600m〜3600m,普通,△,B,B,A,A,A,,,サドラーズウェルズ,ノーザンダンサー,ニアークティック,ネアルコ,ネイティヴダンサー,Bold Reason,ヘイルトゥリーズン,フォルリ,ダルシャーン,シャーリーハイツ,ミルリーフ,Abdos,Kris,シャーペンアップ,Hugh Lupus,Nearctic,Nearctic,Nearctic,Phalaris,Native Dancer,Royal Charger,Royal Charger,Hampton,Nasrullah,Nasrullah,Nasrullah,Herod,Native Dancer,Native Dancer,Herod,ノーザンダンサー系,ノーザンダンサー系,ニアークティック系,ネアルコ系,ネイティヴダンサー系,ヘイルトゥリーズン系,ヘイルトゥリーズン系,ハイペリオン系,ネヴァーベンド系,ネヴァーベンド系,ネヴァーベンド系,トウルビヨン系,エタン系,エタン系,トウルビヨン系
ハイセイコー,ロックフェラ系,5,1400m〜3200m,普通,〇,A,B,A,A,A,,,チャイナロック,Rockefella,ハイペリオン,Gainsborough,Felstead,Rustom Pasha,Son-in-Law,Friar Marcus,カリム,ネアルコ,Pharos,Mirza,Beau Son,Beau Pere,Hua,Hampton,Hampton,Hampton,Hampton,Eclipse,Hampton,Hampton,Eclipse,Phalaris,Phalaris,Phalaris,Swynford,Hampton,Hampton,Eclipse,ロックフェラ系,ロックフェラ系,ハイペリオン系,ハンプトン系,エクリプス系,サンインロー系,サンインロー系,エクリプス系,ネアルコ系,ネアルコ系,ファロス系,ブレニム系,サンインロー系,サンインロー系,エクリプス系
ハイセイコー,ロックフェラ系,5,1400m〜3200m,普通,〇,A,B,A,A,A,立役者,,チャイナロック,Rockefella,ハイペリオン,Gainsborough,Felstead,Rustom Pasha,Son-in-Law,Friar Marcus,カリム,ネアルコ,Pharos,Mirza,Beau Son,Beau Pere,Hua,Hampton,Hampton,Hampton,Hampton,Eclipse,Hampton,Hampton,Eclipse,Phalaris,Phalaris,Phalaris,Swynford,Hampton,Hampton,Eclipse,ロックフェラ系,ロックフェラ系,ハイペリオン系,ハンプトン系,エクリプス系,サンインロー系,サンインロー系,エクリプス系,ネアルコ系,ネアルコ系,ファロス系,ブレニム系,サンインロー系,サンインロー系,エクリプス系
